x,y,theta
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.177418354508729
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.177418354508729
-2.1187077409617254,1.8281231668087476,6.177418354508729
-2.1187077409617254,1.8281231668087476,6.177418354508729
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.177418354508729
-2.1187077409617254,1.8281231668087476,6.177418354508729
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.177418354508729
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.175149426481137
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.177418354508729
-2.1187077409617254,1.8281231668087476,6.177418354508729
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.176371156957533
-2.1187077409617254,1.8281231668087476,6.175149426481137
